"","SA","x","y"
"691","L2/3",5487.736,-6664.109
"692","L2/3",5469.105,-6655.49
"693","L2/3",5450.86,-6646.821
"694","L2/3",5433.04,-6638.141
"695","L2/3",5415.683,-6629.487
"696","L2/3",5415.683,-6629.487
"697","L2/3",5416.237,-6632.55
"698","L2/3",5416.932,-6636.342
"699","L2/3",5417.758,-6640.804
"700","L2/3",5418.703,-6645.874
"701","L2/3",5419.754,-6651.492
"702","L2/3",5420.9,-6657.596
"703","L2/3",5422.13,-6664.126
"704","L2/3",5423.431,-6671.02
"705","L2/3",5424.792,-6678.219
"706","L2/3",5426.201,-6685.66
"707","L2/3",5427.646,-6693.283
"708","L2/3",5429.115,-6701.026
"709","L2/3",5430.598,-6708.83
"710","L2/3",5432.082,-6716.633
"711","L2/3",5433.554,-6724.374
"712","L2/3",5435.005,-6731.992
"713","L2/3",5436.422,-6739.427
"714","L2/3",5437.792,-6746.617
"715","L2/3",5439.105,-6753.501
"716","L2/3",5440.349,-6760.019
"717","L2/3",5441.511,-6766.11
"718","L2/3",5442.581,-6771.712
"719","L2/3",5443.546,-6776.765
"720","L2/3",5444.395,-6781.208
"721","L2/3",5445.116,-6784.979
"722","L2/3",5445.697,-6788.019
"723","L2/3",5446.127,-6790.265
"724","L2/3",5446.393,-6791.658
"725","L2/3",5446.485,-6792.135
"726","L2/3",5446.485,-6792.135
"727","L5",5382.336,-6453.372
"728","L5",5382.336,-6453.372
"729","L5",5383.388,-6454.653
"730","L5",5386.498,-6458.337
"731","L5",5391.598,-6464.189
"732","L5",5398.621,-6471.971
"733","L5",5407.499,-6481.445
"734","L5",5418.164,-6492.375
"735","L5",5430.548,-6504.525
"736","L5",5444.582,-6517.656
"737","L5",5460.201,-6531.532
"738","L5",5477.334,-6545.916
"739","L5",5495.915,-6560.571
"740","L5",5515.876,-6575.259
"741","L5",5537.149,-6589.745
"742","L5",5559.666,-6603.791
"743","L5",5583.359,-6617.159
"744","L5",5608.16,-6629.614
"745","L5",5634.001,-6640.917
"746","L5",5660.816,-6650.833
"747","L5",5688.534,-6659.123
"748","L5",5717.09,-6665.551
"749","L5",5746.415,-6669.881
"750","L5",5776.441,-6671.874
"751","L5",5807.1,-6671.294
"752","L5",5838.324,-6667.905
"753","L5",5870.046,-6661.468
"754","L5",5902.198,-6651.747
"755","L5",5934.711,-6638.505
"756","L5",5967.518,-6621.506
"757","L5",6000.552,-6600.511
"758","L5",6000.552,-6600.511
"759","L5",6038.736,-6574.853
"760","L5",6076.922,-6550.998
"761","L5",6115.148,-6528.817
"762","L5",6153.451,-6508.177
"763","L5",6191.868,-6488.947
"764","L5",6230.436,-6470.997
"765","L5",6269.194,-6454.194
"766","L5",6308.179,-6438.408
"767","L5",6347.428,-6423.507
"768","L5",6386.978,-6409.361
"769","L5",6426.867,-6395.837
"770","L5",6467.132,-6382.805
"771","L5",6507.811,-6370.134
"772","L5",6548.941,-6357.691
"773","L5",6590.56,-6345.347
"774","L5",6632.705,-6332.969
"775","L5",6675.413,-6320.427
"776","L5",6718.722,-6307.589
"777","L5",6762.669,-6294.325
"778","L5",6807.291,-6280.502
"779","L5",6852.627,-6265.989
"780","L5",6898.713,-6250.656
"781","L5",6945.588,-6234.371
"782","L5",6993.287,-6217.003
"783","L5",7041.849,-6198.421
"784","L5",7091.312,-6178.493
"785","L5",7141.712,-6157.088
"786","L5",7193.087,-6134.075
"787","L5",7245.474,-6109.323
"788","L5",7245.474,-6109.323
"789","L5",7290.043,-6086.856
"790","L5",7334.485,-6062.835
"791","L5",7378.711,-6037.414
